;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
1;0;6;7;8;9;10;11;12;13;14;15;16;17;18;3;2
2;6;0;8;9;10;11;12;13;14;15;16;17;18;19;4;3
3;1;2;0;4;5;6;7;8;9;10;11;12;13;14;4;4
4;2;3;4;0;6;7;8;9;10;11;12;13;14;15;5;4
5;4;5;6;7;0;9;10;11;12;13;14;15;16;17;6;3
6;3;5;5;4;5;0;6;4;3;3;3;4;5;6;5;5
7;1;2;3;4;5;6;0;8;9;10;11;12;13;14;4;6
8;1;2;3;4;5;6;7;0;9;10;11;12;13;14;7;5
9;3;4;5;6;7;8;9;10;0;12;13;14;15;16;6;43
10;3;4;5;6;7;8;9;10;11;0;13;14;15;16;7;3
11;5;6;7;8;9;10;11;12;13;14;0;16;17;18;6;4
12;5;6;7;8;9;10;11;12;13;14;15;0;17;18;4;4
13;5;6;7;8;9;10;11;12;13;14;15;16;0;18;3;4
14;6;7;8;9;10;11;12;13;14;15;16;17;18;0;2;54
15;1;2;3;4;5;6;7;8;9;10;11;12;13;14;0;5
16;3;4;5;6;7;8;9;10;11;12;13;14;15;16;6;0
